""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"	"signature_file"	"signature_file_complete"	"exposure_material_id_1"	"exposure_material_id_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"	""	""	""	""	""
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"tissue"	"background"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date (YYYY-MM-DD) "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age of youngest subject including both cases and controls"	"age of oldest subject including both cases and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"Cell Ontology ID of tissue"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"additional exposure material"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"ID of observation within a publication (PMID) and for its submission type "	"ID of observation within its submission type"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"hipc_gene_21357945_6"	"2011.03.02"	"hipc_gene_21357945_6"	"E2F2"	""	"Caucasian males, subgroup low responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"E2F2"	"N"	"gene expression"	"positively correlated"	"titer response index"	"time of vaccination (first dose)"	"3"	"Days"	""	"2008"	""	""	""	"21357945"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"2011"	"Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/' target='_blank'>table/tbl1</a>"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"5"	"5"	"6"	"13"	"21357945_6_13"	"hipc_gene_sig_21357945_6.txt"	"hipc_gene_sig_complete_21357945_6.txt"	"VO:0000045"	"VO:0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"
""	"hipc_gene_21357945_6"	"2011.03.02"	"hipc_gene_21357945_6"	"PRDX2"	""	"Caucasian males, subgroup low responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"PRDX2"	"N"	"gene expression"	"positively correlated"	"titer response index"	"time of vaccination (first dose)"	"3"	"Days"	""	"2008"	""	""	""	"21357945"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"2011"	"Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/' target='_blank'>table/tbl1</a>"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"5"	"5"	"6"	"13"	"21357945_6_13"	"hipc_gene_sig_21357945_6.txt"	"hipc_gene_sig_complete_21357945_6.txt"	"VO:0000045"	"VO:0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"
""	"hipc_gene_21357945_6"	"2011.03.02"	"hipc_gene_21357945_6"	"PRDX3"	""	"Caucasian males, subgroup low responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"PRDX3"	"N"	"gene expression"	"positively correlated"	"titer response index"	"time of vaccination (first dose)"	"3"	"Days"	""	"2008"	""	""	""	"21357945"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"2011"	"Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/' target='_blank'>table/tbl1</a>"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"5"	"5"	"6"	"13"	"21357945_6_13"	"hipc_gene_sig_21357945_6.txt"	"hipc_gene_sig_complete_21357945_6.txt"	"VO:0000045"	"VO:0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"
""	"hipc_gene_21357945_6"	"2011.03.02"	"hipc_gene_21357945_6"	"PTEN"	""	"Caucasian males, subgroup low responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"PTEN"	"N"	"gene expression"	"positively correlated"	"titer response index"	"time of vaccination (first dose)"	"3"	"Days"	""	"2008"	""	""	""	"21357945"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"2011"	"Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/' target='_blank'>table/tbl1</a>"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"5"	"5"	"6"	"13"	"21357945_6_13"	"hipc_gene_sig_21357945_6.txt"	"hipc_gene_sig_complete_21357945_6.txt"	"VO:0000045"	"VO:0000046"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"
