"","submission_name","submission_date","template_name","response_component","curation_date","cohort","age_min","age_max","age_units","number_subjects","tissue_type","tissue_type_term_id","response_component_original","is_model","response_behavior_type","response_behavior","comparison","baseline_time_event","time_point","time_point_units","additional_exposure_material","target_pathogen_taxonid","vaccine_year","adjuvant","route","scheduling","publication_reference_id","publication_reference_url","publication_date","signature_source","signature_source_url","comments","response_comp_orig_cnt","response_comp_cnt","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete","exposure_material_id_1","exposure_material_id_2"
"subject","","","","gene","","","","","","","","cell_subset","","","","","","","","","","pathogen","","","","","","","","","","","","","","","","","","vaccine","vaccine"
"evidence","label","label","label","","label","label","label","label","label","label","label","","label","label","label","label","label","label","label","label","label","","label","label","label","label","label","url","label","label","label","label","label","label","label","label","label","file","file","",""
"role","background","background","background","gene_biomarker","background","observed","observed","observed","observed","observed","background","tissue","observed","background","background","measured","background","background","observed","observed","background","pathogen","background","background","background","background","background","reference","background","background","background","background","observed","observed","background","background","background","observed","observed","vaccine","vaccine"
"mime_type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"numeric_units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"display_text","submission name","submission_date","template_name","response component","curation date YYYY-MM-DD ","Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested.","age_min - age of youngest subject including both cases and controls","age_max - age of oldest subject including both case and controls","age units","number of subjects - count of case plus control subjects used in the measurement.","tissue type","tissue (Cell Ontology)","response component (original gene symbol)","signature was derived from a computational model","response behavior type","response behavior (direction, correlation type etc.)","comparison (affected vs control, correlated variable, time vs baseline event etc.)","baseline time event","time point relative to baseline event at which response was measured","time point units","exposure material - additional","target pathogen (NCBI TaxID)","vaccine year (influenza only)","adjuvant","route","scheduling","publication reference (PMID)","Hoft et al. (2016) Safety and Immunogenicity of the Recombinant BCG Vaccine AERAS-422 in Healthy BCG-naïve Adults: A Randomized, Active-controlled, First-in-human Phase 1 Trial. EBioMedicine. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481' target='_blank'>27322481</a>","print publication date or posted date (YYYY-MM-DD or YYYY)","signature source figure, table or text section","signature source url","comments and additional details","response component (original) count","response component count","ID of observation within a publication (PMID) and for its submission type ","ID of observation within its submission type","row key","response component (genes) file"," response components including non-HGNC genes","exposure material 1","exposure material 2"
"","hipc_vac_gene_27322481_7","2016.06.21","hipc_vac_gene_27322481_7","IL12RB2","","","18","40","years","","peripheral blood mononuclear cell","CL:2000001","IL12RB2","N","gene expression","negatively correlated","whole blood bactericidal activity","time of vaccination","14","days","","33892","","","","","27322481","https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481","2016","Fig 7A","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>","","40","40","7","176","27322481_7_176","hipc_vac_gene_sig_27322481_7.txt","hipc_vac_gene_sig_complete_27322481_7.txt","VO:0000103","VO:0004757"
"","hipc_vac_gene_27322481_7","2016.06.21","hipc_vac_gene_27322481_7","SPIRE1","","","18","40","years","","peripheral blood mononuclear cell","CL:2000001","SPIRE1","N","gene expression","negatively correlated","whole blood bactericidal activity","time of vaccination","14","days","","33892","","","","","27322481","https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481","2016","Fig 7A","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>","","40","40","7","176","27322481_7_176","hipc_vac_gene_sig_27322481_7.txt","hipc_vac_gene_sig_complete_27322481_7.txt","VO:0000103","VO:0004757"
"","hipc_vac_gene_27322481_7","2016.06.21","hipc_vac_gene_27322481_7","CACNA2D2","","","18","40","years","","peripheral blood mononuclear cell","CL:2000001","CACNA2D2","N","gene expression","negatively correlated","whole blood bactericidal activity","time of vaccination","14","days","","33892","","","","","27322481","https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481","2016","Fig 7A","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>","","40","40","7","176","27322481_7_176","hipc_vac_gene_sig_27322481_7.txt","hipc_vac_gene_sig_complete_27322481_7.txt","VO:0000103","VO:0004757"
"","hipc_vac_gene_27322481_7","2016.06.21","hipc_vac_gene_27322481_7","GZMH","","","18","40","years","","peripheral blood mononuclear cell","CL:2000001","GZMH","N","gene expression","negatively correlated","whole blood bactericidal activity","time of vaccination","14","days","","33892","","","","","27322481","https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481","2016","Fig 7A","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>","","40","40","7","176","27322481_7_176","hipc_vac_gene_sig_27322481_7.txt","hipc_vac_gene_sig_complete_27322481_7.txt","VO:0000103","VO:0004757"
